comparison_group,method,endpoint,requests,denominator,strict_sun,meta_sun,strict_percent,meta_percent,source_id,source_pointer,note,evidence
september_fixed_development256_commonR,K4/K8 equal probability mixture (eval_40076),raw,256,all_requested,10,51,3.90625,19.921875,september7_completed_snapshot,/development[method=K4/K8 equal probability mixture (eval_40076)] / raw,,machine_terminal
september_fixed_development256_commonR,K4/K8 equal probability mixture (eval_40076),tau800,256,all_requested,18,118,7.03125,46.09375,september7_completed_snapshot,/development[method=K4/K8 equal probability mixture (eval_40076)] / tau800,,machine_terminal
september_fixed_development256_commonR,K4 construction only (eval_40083),raw,256,all_requested,5,48,1.953125,18.75,september7_completed_snapshot,/development[method=K4 construction only (eval_40083)] / raw,,machine_terminal
september_fixed_development256_commonR,K4 construction only (eval_40083),tau800,256,all_requested,15,126,5.859375,49.21875,september7_completed_snapshot,/development[method=K4 construction only (eval_40083)] / tau800,,machine_terminal
september_fixed_development256_commonR,K8 construction only (eval_40083),raw,256,all_requested,5,54,1.953125,21.09375,september7_completed_snapshot,/development[method=K8 construction only (eval_40083)] / raw,,machine_terminal
september_fixed_development256_commonR,K8 construction only (eval_40083),tau800,256,all_requested,16,119,6.25,46.484375,september7_completed_snapshot,/development[method=K8 construction only (eval_40083)] / tau800,,machine_terminal
september_fixed_development256_commonR,K4 cooperative endpoint (eval_40088),raw,256,all_requested,8,48,3.125,18.75,september7_completed_snapshot,/development[method=K4 cooperative endpoint (eval_40088)] / raw,,machine_terminal
september_fixed_development256_commonR,K4 cooperative endpoint (eval_40088),tau800,256,all_requested,18,114,7.03125,44.53125,september7_completed_snapshot,/development[method=K4 cooperative endpoint (eval_40088)] / tau800,,machine_terminal
september_fixed_development256_commonR,K8 cooperative endpoint (eval_40088),raw,256,all_requested,10,57,3.90625,22.265625,september7_completed_snapshot,/development[method=K8 cooperative endpoint (eval_40088)] / raw,,machine_terminal
september_fixed_development256_commonR,K8 cooperative endpoint (eval_40088),tau800,256,all_requested,15,122,5.859375,47.65625,september7_completed_snapshot,/development[method=K8 cooperative endpoint (eval_40088)] / tau800,,machine_terminal
september_independent1200,K8 independent 1000,raw,1000,parser_only_prefix1000,39,244,3.9,24.4,september7_completed_snapshot,/independent_original_k8[requests=1000] / raw,"Same underlying1200 generation; prefix1000 is a reporting view, not another cohort.",machine_terminal
september_independent1200,K8 independent 1000,tau800,1000,parser_only_prefix1000,65,484,6.5,48.4,september7_completed_snapshot,/independent_original_k8[requests=1000] / tau800,"Same underlying1200 generation; prefix1000 is a reporting view, not another cohort.",machine_terminal
september_independent1200,K8 independent 1200,raw,1200,all_requested,47,285,3.9166666666666665,23.75,september7_completed_snapshot,/independent_original_k8[requests=1200] / raw,"Same underlying1200 generation; prefix1000 is a reporting view, not another cohort.",machine_terminal
september_independent1200,K8 independent 1200,tau800,1200,all_requested,79,570,6.583333333333333,47.5,september7_completed_snapshot,/independent_original_k8[requests=1200] / tau800,"Same underlying1200 generation; prefix1000 is a reporting view, not another cohort.",machine_terminal
